id,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
1497949659,185341,A Year of Sanderson: Enjoy books and swag boxes throughout 2023!,47,Fiction,18,Publishing,http://www.kickstarter.com/discover/categories/publishing/fiction,41754153,US,1641845766,74501917,Dragonsteel Entertainment,https://www.kickstarter.com/profile/dragonsteel,USD,1648767600,1,1000000,1646150407,US,2473779,Pleasant Grove,UT,Town,Surprise! Four Secret Novels by Brandon Sanderson,4175.415324,41754153.24,A Year of Sanderson: Enjoy books and swag boxes throughout 2023!,4334820,Surprise! Four Secret Novels by Brandon Sanderson,4334820,active,1648767693,https://www.kickstarter.com/projects/dragonsteel/surprise-four-secret-novels-by-brandon-sanderson,true,true,successful,1648767600,1,1,41754153.24,domestic
1799979574,78471,Color e-paper smartwatch with up to 7 days of battery and a new timeline interface that highlights what's important in your day.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,20338986,US,1423542328,597507018,Pebble Technology,https://www.kickstarter.com/profile/getpebble,USD,1427508000,1,500000,1424789082,US,2467861,Palo Alto,CA,Town,"Pebble Time - Awesome Smartwatch, No Compromises",4067.797254,20338986.27,Color e-paper smartwatch with up to 7 days of battery and a new timeline interface that highlights what's important in your day.,1695644,"Pebble Time - Awesome Smartwatch, No Compromises",1695644,active,1427589733,https://www.kickstarter.com/projects/getpebble/pebble-time-awesome-smartwatch-no-compromises,true,true,successful,1427508015,1,1,20338986.27,domestic
374744378,83193,Euro-inspired dungeon crawling sequel to the 2017 smash-hit Gloomhaven,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,12969608,US,1581299604,1350948450,Isaac Childres,https://www.kickstarter.com/profile/frosthaven,USD,1588366800,1,500000,1585667038,US,2434562,Lafayette,IN,Town,Frosthaven,2593.9216,12969608,Euro-inspired dungeon crawling sequel to the 2017 smash-hit board game Gloomhaven,3930828,Frosthaven,3930828,active,1588367201,https://www.kickstarter.com/projects/frosthaven/frosthaven,true,true,successful,1588366800,1,1,12969608,domestic
545070200,19264,A cooperative nightmare horror game experience. Hunt intelligent monsters and develop your settlement through a self-running campaign.,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,12393139,US,1478708204,2121023188,Kingdom Death,https://www.kickstarter.com/profile/poots,USD,1483830000,1,100000,1480050101,US,2411081,Glendale,NY,Suburb,Kingdom Death: Monster 1.5,12393.13969,12393139.69,A cooperative nightmare horror game experience. Hunt intelligent monsters and develop your settlement through a self-running campaign.,2752819,Kingdom Death: Monster 1.5,2752819,active,1483997388,https://www.kickstarter.com/projects/poots/kingdom-death-monster-15,true,true,successful,1483830003,1,1,12393139.69,domestic
1198848775,3199,Expandable capacity (3.6-25kWh) | Power almost anything (3.6-7.2kW) | Home battery ecosystem,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,12179651,US,1625053977,1436444454,EcoFlow,https://www.kickstarter.com/profile/ecoflow,USD,1631540391,1,100000,1626356391,US,2442047,Los Angeles,CA,Town,EcoFlow DELTA Pro: The Portable Home Battery,12179.65105,12179651.05,null,4241418,null,4241418,inactive,1625053977,https://www.kickstarter.com/projects/ecoflow/ecoflow-delta-pro,true,true,successful,1631540391,1,1,12179651.05,domestic
1289129165,27168,A full-featured tripod in a truly portable form.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,12143435,US,1556224168,97103764,Peak Design,https://www.kickstarter.com/profile/peak-design,USD,1563494400,1,500000,1558447202,US,2487956,San Francisco,CA,Town,Travel Tripod by Peak Design,2428.687134,12143435.67,A full-featured tripod in a truly portable form.,3718928,Travel Tripod by Peak Design,3718928,active,1563558922,https://www.kickstarter.com/projects/peak-design/travel-tripod-by-peak-design,true,true,successful,1563494400,1,1,12143435.67,domestic
597041739,88887,Critical Role's The Legend of Vox Machina reunites your favorite heroes for a professional-quality animated special!,29,Animation,11,Film & Video,http://www.kickstarter.com/discover/categories/film%20&%20video/animation,11385449,US,1549660952,1007835190,Critical Role,https://www.kickstarter.com/profile/criticalrole,USD,1555657140,1,750000,1551722069,US,2442047,Los Angeles,CA,Town,Critical Role: The Legend of Vox Machina Animated Special,1518.0598733333,11385449.05,null,3665306,null,3665306,inactive,1549660952,https://www.kickstarter.com/projects/criticalrole/critical-role-the-legend-of-vox-machina-animated-s,true,true,successful,1555657140,1,1,11385449.05,domestic
1010797520,81567,An officially licensed tabletop roleplaying game set in the world of Avatar: The Last Airbender and The Legend of Korra,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,9535317,US,1623164955,1998547133,Magpie Games,https://www.kickstarter.com/profile/magpiegames,USD,1630625400,1,50000,1627998936,US,2352824,Albuquerque,NM,Town,Avatar Legends: The Roleplaying Game,19070.63462,9535317.31,An officially licensed tabletop roleplaying game set in the world of Avatar: The Last Airbender and The Legend of Korra,4230147,Avatar Legends: The Roleplaying Game,4230147,active,1630626583,https://www.kickstarter.com/projects/magpiegames/avatar-legends-the-roleplaying-game,true,true,successful,1630625400,1,1,9535317.31,domestic
865220570,28974,The hunger takes hold after the Marvel Universe has been turned into Zombies! Get ready for a Zombicide campaign of epic proportions.,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,9032583,US,1629686058,1134494596,CMON,https://www.kickstarter.com/profile/cmon,USD,1643940000,1,500000,1642536000,US,2357024,Atlanta,GA,Town,Marvel Zombies - A Zombicide Game,1806.5166,9032583,The hunger takes hold after the Marvel Universe has been turned into Zombies! Get ready for a Zombicide campaign of epic proportions.,4268319,Marvel Zombies - A Zombicide Game,4268319,active,1643940081,https://www.kickstarter.com/projects/cmon/marvel-zombies-zombicide,true,true,successful,1643940000,1,1,9032583,domestic
1738059832,11313,Print Time Cut by 70% | Smooth 0.1 mm Detail | Built-In AI Camera Monitoring | Multiple-Device Hub | Multi-Color and Material Kit,331,3D Printing,16,Technology,http://www.kickstarter.com/discover/categories/technology/3d%20printing,8881095,US,1645672664,1100186454,AnkerMake,https://www.kickstarter.com/profile/ankermake,USD,1653141551,1,50000,1649253551,US,2490383,Seattle,WA,Town,AnkerMake M5 3D Printer - 5X Faster Printing and AI Camera,17762.1904,8881095.2,Print Time Cut by 70% | Smooth 0.1 mm Detail | Built-In AI Camera Monitoring | Multiple-Device Hub | Multi-Color and Material Kit,4358672,AnkerMake M5 3D Printer - 5X Faster Printing and AI Camera,4358672,active,1653292818,https://www.kickstarter.com/projects/ankermake/ankermake-m5-3d-printer-5x-faster-printing-and-ai-camera,true,false,successful,1653141551,1,1,8881095.2,domestic
